a,b,eps,t
1e-05,0.0001,0,0.0373981
0.0001,0.001,0,0.0320759
0.001,0.01,0,0.039402
0.01,0.1,0,0.0344431
0.1,1,0,0.0357499
1,10,0,0.0435739
10,100,0,0.0398319
