a,b,eps,t
1e-05,0.0001,0,1.05355
0.0001,0.001,0,1.06987
0.001,0.01,0,1.09781
0.01,0.1,0,1.22
0.1,1,0,1.59049
1,10,0,1.28328
10,100,0,1.23637
