a,b,eps,t
1e-05,0.0001,0,0.0266759
0.0001,0.001,0,0.02724
0.001,0.01,0,0.026427
0.01,0.1,0,0.027221
0.1,1,0,0.0268579
1,10,0,0.0293159
10,100,0,0.0259778
