a,b,eps,t
1e-05,0.0001,32766,1.51587
0.0001,0.001,32766,1.29037
0.001,0.01,32766,1.25591
0.01,0.1,32766,1.30073
0.1,1,32766,1.27589
1,10,32766,1.26653
10,100,32766,1.25534
