a,b,eps,t
1e-05,0.0001,32766,0.0153182
0.0001,0.001,32766,0.0167329
0.001,0.01,32766,0.0164289
0.01,0.1,32766,0.0151792
0.1,1,32766,0.015049
1,10,32766,0.0166199
10,100,32766,0.013823
