a,b,eps,t
1e-05,0.0001,32766,0.722579
0.0001,0.001,32766,0.768219
0.001,0.01,32766,0.732574
0.01,0.1,32766,0.735708
0.1,1,32766,0.746836
1,10,32766,0.744962
10,100,32766,0.742166
