a,b,eps,t
1e-05,0.0001,32766,0.957368
0.0001,0.001,32766,0.981897
0.001,0.01,32766,0.947017
0.01,0.1,32766,0.946359
0.1,1,32766,0.946105
1,10,32766,0.96097
10,100,32766,0.964702
