a,b,eps,t
1e-05,0.0001,32766,0.462277
0.0001,0.001,32766,0.456708
0.001,0.01,32766,0.456161
0.01,0.1,32766,0.417556
0.1,1,32766,0.415633
1,10,32766,0.417259
10,100,32766,0.420946
