a,b,eps,t
1e-05,0.0001,32766,0.0283759
0.0001,0.001,32766,0.0265858
0.001,0.01,32766,0.026778
0.01,0.1,32766,0.027508
0.1,1,32766,0.0281379
1,10,32766,0.0301571
10,100,32766,0.0581758
