a,b,eps,t
1e-05,0.0001,32766,0.026885
0.0001,0.001,32766,0.024647
0.001,0.01,32766,0.02439
0.01,0.1,32766,0.0252361
0.1,1,32766,0.0262249
1,10,32766,0.0234551
10,100,32766,0.0221598
