a,b,eps,t
1e-05,0.0001,0,0.00245285
0.0001,0.001,0,0.00245404
0.001,0.01,0,0.00231981
0.01,0.1,0,0.00295305
0.1,1,0,0.00270891
1,10,0,0.00214291
10,100,0,0.0021522
