a,b,eps,t
1e-05,0.0001,0,0.001688
0.0001,0.001,0,0.00149703
0.001,0.01,0,0.001647
0.01,0.1,0,0.00157809
0.1,1,0,0.00159621
1,10,0,0.00139308
10,100,0,0.00136805
