a,b,eps,t
1e-05,0.0001,0,0.00231099
0.0001,0.001,0,0.00217986
0.001,0.01,0,0.00219393
0.01,0.1,0,0.00222397
0.1,1,0,0.00269008
1,10,0,0.00191808
10,100,0,0.00183892
