a,b,eps,t
1e-05,0.0001,0,0.00184989
0.0001,0.001,0,0.00159717
0.001,0.01,0,0.00167608
0.01,0.1,0,0.00175405
0.1,1,0,0.00175214
1,10,0,0.0014782
10,100,0,0.0015161
