a,b,eps,t
1e-05,0.0001,0,0.0018189
0.0001,0.001,0,0.00165892
0.001,0.01,0,0.00165987
0.01,0.1,0,0.00172997
0.1,1,0,0.00174212
1,10,0,0.0015471
10,100,0,0.00146198
