a,b,eps,t
1e-05,0.0001,0,0.00463986
0.0001,0.001,0,0.00533509
0.001,0.01,0,0.00544596
0.01,0.1,0,0.00358605
0.1,1,0,0.00515485
1,10,0,0.00396204
10,100,0,0.00434804
