a,b,eps,t
1e-05,0.0001,0,0.005229
0.0001,0.001,0,0.00502205
0.001,0.01,0,0.00325704
0.01,0.1,0,0.00285792
0.1,1,0,0.00282788
1,10,0,0.00243282
10,100,0,0.00252509
