a,b,eps,t
1e-05,0.0001,0,0.00160098
0.0001,0.001,0,0.00193906
0.001,0.01,0,0.00265384
0.01,0.1,0,0.0014348
0.1,1,0,0.00142288
1,10,0,0.00132895
10,100,0,0.00224996
