a,b,eps,t
1e-05,0.0001,0,0.00669718
0.0001,0.001,0,0.0068779
0.001,0.01,0,0.00629592
0.01,0.1,0,0.00634909
0.1,1,0,0.00632119
1,10,0,0.0062089
10,100,0,0.00605297
