a,b,eps,t
1e-05,0.0001,0,0.0180991
0.0001,0.001,0,0.01668
0.001,0.01,0,0.015312
0.01,0.1,0,0.015445
0.1,1,0,0.013607
1,10,0,0.015466
10,100,0,0.014406
