a,b,eps,t
1e-05,0.0001,0,0.00695682
0.0001,0.001,0,0.00949883
0.001,0.01,0,0.00879693
0.01,0.1,0,0.00970984
0.1,1,0,0.00944805
1,10,0,0.00895691
10,100,0,0.0104041
