a,b,eps,t
1e-05,0.0001,0,0.0109861
0.0001,0.001,0,0.011065
0.001,0.01,0,0.0110121
0.01,0.1,0,0.0111339
0.1,1,0,0.0109022
1,10,0,0.0113711
10,100,0,0.011071
