a,b,eps,t
1e-05,0.0001,0,0.0115621
0.0001,0.001,0,0.0115139
0.001,0.01,0,0.010927
0.01,0.1,0,0.010628
0.1,1,0,0.0110462
1,10,0,0.0115299
10,100,0,0.0103269
