a,b,eps,t
1e-05,0.0001,0,0.0139139
0.0001,0.001,0,0.0129008
0.001,0.01,0,0.0121281
0.01,0.1,0,0.0121529
0.1,1,0,0.011615
1,10,0,0.0113001
10,100,0,0.0118771
