a,b,eps,t
1e-05,0.0001,0,0.0108109
0.0001,0.001,0,0.0100558
0.001,0.01,0,0.0104921
0.01,0.1,0,0.010947
0.1,1,0,0.0107551
1,10,0,0.0104549
10,100,0,0.0105028
