a,b,eps,t
1e-05,0.0001,0,0.015223
0.0001,0.001,0,0.0135899
0.001,0.01,0,0.0132458
0.01,0.1,0,0.0134211
0.1,1,0,0.012651
1,10,0,0.012398
10,100,0,0.0130482
